X,Y,Z
414127.82,73786.72,526.91
405128.31,105087.46,1046.93
587432.05,175382.95,221.12
509730.1,121485.41,304.76
557230.42,125084.14,867.59
510529.82,108385.29,775.06
586432.6,188183.05,407.47
463328.33,63285.9,1139.34
398427.6,80787.16,623.51
394528.37,117788.09,1183.83
396128.02,96087.41,630.43
396128.17,102887.53,778.35
462428.1,46685.76,1248.38
446627.77,38385.98,749.43
397528.21,103787.54,810.05
463430.04,143586.91,1731.29
398428.46,120988.05,1170.8
592031.7,166782.87,193.12
509529.61,100285.19,752.53
592432.28,181682.77,384.79
510329.15,85285.09,549.85
438129.71,139487.58,1079.21
411928.62,125387.87,1192.63
416127.84,73186.65,604.05
404528.26,103287.42,992.63
407328.03,94487.16,1299.14
587431.49,158783.12,185.0
412528.53,112087.47,962.37
416328.08,88486.88,1086.1
471628.34,64485.86,1055.02
588631.11,145283.14,323.52
405128.43,118487.87,1124.72
405127.7,79487.05,380.41
479928.61,76885.67,767.18
517629.87,106485.03,618.86
577232.67,188383.38,413.98
522829.55,94484.85,523.79
542929.82,105084.47,477.11
480029.0,94485.95,729.19
522129.26,82484.87,363.56
577232.16,175483.3,212.83
518230.22,124485.35,291.38
542430.29,118784.63,357.18
526629.88,107184.79,721.38
497830.14,127485.74,861.38
479228.43,72185.71,925.78
528530.31,123185.03,331.78
499429.92,114785.6,886.13
478228.75,85585.84,523.65
433628.1,67186.36,720.24
454129.81,134686.97,2106.24
430028.23,81886.66,1122.5
430428.57,94686.92,864.33
432127.81,49786.24,708.47
515429.79,104785.09,852.41
589631.61,163183.01,184.21
552530.47,127584.41,516.46
513130.09,119885.29,535.11
589932.13,177782.86,315.25
402828.17,100187.38,926.68
465928.3,59785.92,1094.94
400727.7,82687.17,197.14
504129.23,90185.22,397.83
492929.96,120785.82,775.34
597931.96,172382.62,244.58
504128.79,74085.2,483.43
596432.47,185182.65,342.5
494729.54,104685.76,695.41
427628.2,84686.71,1212.1
451428.24,58486.01,1174.67
590631.12,145483.05,300.38
391628.41,128588.39,1748.91
456929.83,133486.88,1759.9
